"time","x","y","s","a","dis","o","dir","event","nflId","displayName","jerseyNumber","position","team","frameId","gameId","playId","playDirection","framesaftersnap"
"2020-12-20T21:39:05.200",47.35,23.53,0.5,1.87,0.05,79.1,273.3,"ball_snap",37874,"Jake McQuaide",44,"LS","home",11,2020122003,881,"right",0
"2020-12-20T21:39:05.300",47.27,23.53,0.83,2.12,0.08,82.26,269.56,"None",37874,"Jake McQuaide",44,"LS","home",12,2020122003,881,"right",1
"2020-12-20T21:39:05.400",47.18,23.52,1.01,1.57,0.09,84.9,268.72,"None",37874,"Jake McQuaide",44,"LS","home",13,2020122003,881,"right",2
"2020-12-20T21:39:05.500",47.03,23.51,1.35,1.45,0.15,89.62,265.96,"None",37874,"Jake McQuaide",44,"LS","home",14,2020122003,881,"right",3
"2020-12-20T21:39:05.600",46.88,23.5,1.53,1.32,0.15,103.05,265.35,"None",37874,"Jake McQuaide",44,"LS","home",15,2020122003,881,"right",4
"2020-12-20T21:39:05.700",46.69,23.47,1.76,1.07,0.19,111.91,262.64,"None",37874,"Jake McQuaide",44,"LS","home",16,2020122003,881,"right",5
"2020-12-20T21:39:05.800",46.51,23.45,1.86,0.46,0.19,116.76,263.2,"None",37874,"Jake McQuaide",44,"LS","home",17,2020122003,881,"right",6
"2020-12-20T21:39:05.900",46.31,23.44,1.92,0.02,0.2,123.3,264.49,"None",37874,"Jake McQuaide",44,"LS","home",18,2020122003,881,"right",7
"2020-12-20T21:39:06.000",46.11,23.44,1.98,0.43,0.21,118.65,267.39,"None",37874,"Jake McQuaide",44,"LS","home",19,2020122003,881,"right",8
"2020-12-20T21:39:06.100",45.89,23.46,2.03,0.68,0.21,118.65,271.62,"None",37874,"Jake McQuaide",44,"LS","home",20,2020122003,881,"right",9
"2020-12-20T21:39:06.200",45.68,23.49,2.1,1.16,0.22,106.39,276.94,"None",37874,"Jake McQuaide",44,"LS","home",21,2020122003,881,"right",10
"2020-12-20T21:39:06.300",45.44,23.54,2.31,1.27,0.24,95.27,282.71,"None",37874,"Jake McQuaide",44,"LS","home",22,2020122003,881,"right",11
"2020-12-20T21:39:06.400",45.2,23.6,2.42,1.17,0.24,86.29,285.48,"None",37874,"Jake McQuaide",44,"LS","home",23,2020122003,881,"right",12
"2020-12-20T21:39:06.500",44.96,23.67,2.52,0.84,0.26,82.46,287.33,"None",37874,"Jake McQuaide",44,"LS","home",24,2020122003,881,"right",13
"2020-12-20T21:39:06.600",44.69,23.76,2.68,0.53,0.28,86.09,288.21,"None",37874,"Jake McQuaide",44,"LS","home",25,2020122003,881,"right",14
"2020-12-20T21:39:06.700",44.4,23.84,2.87,0.15,0.3,92.95,287.4,"None",37874,"Jake McQuaide",44,"LS","home",26,2020122003,881,"right",15
"2020-12-20T21:39:06.800",44.12,23.92,2.96,0.16,0.3,94.19,286.46,"None",37874,"Jake McQuaide",44,"LS","home",27,2020122003,881,"right",16
"2020-12-20T21:39:06.900",43.82,24,3.01,0.49,0.31,92.76,285.08,"None",37874,"Jake McQuaide",44,"LS","home",28,2020122003,881,"right",17
"2020-12-20T21:39:07.000",43.51,24.06,3.06,0.82,0.31,95.18,282.37,"None",37874,"Jake McQuaide",44,"LS","home",29,2020122003,881,"right",18
"2020-12-20T21:39:07.100",43.2,24.12,3.08,1.03,0.31,98.78,279.76,"None",37874,"Jake McQuaide",44,"LS","home",30,2020122003,881,"right",19
"2020-12-20T21:39:07.200",42.9,24.16,3.04,1.17,0.31,98.78,277.91,"None",37874,"Jake McQuaide",44,"LS","home",31,2020122003,881,"right",20
"2020-12-20T21:39:07.300",42.6,24.21,2.97,1.25,0.3,97.95,276.8,"punt",37874,"Jake McQuaide",44,"LS","home",32,2020122003,881,"right",21
"2020-12-20T21:39:07.400",42.29,24.24,2.95,1.29,0.31,99.96,275.46,"punt_blocked",37874,"Jake McQuaide",44,"LS","home",33,2020122003,881,"right",22
"2020-12-20T21:39:07.500",41.99,24.26,2.9,1.35,0.3,107.73,273.43,"None",37874,"Jake McQuaide",44,"LS","home",34,2020122003,881,"right",23
"2020-12-20T21:39:07.600",41.7,24.27,2.78,1.5,0.28,107.73,272.48,"None",37874,"Jake McQuaide",44,"LS","home",35,2020122003,881,"right",24
"2020-12-20T21:39:07.700",41.43,24.28,2.65,1.56,0.27,110.54,271.62,"None",37874,"Jake McQuaide",44,"LS","home",36,2020122003,881,"right",25
"2020-12-20T21:39:07.800",41.17,24.28,2.51,1.67,0.26,113.98,269.67,"None",37874,"Jake McQuaide",44,"LS","home",37,2020122003,881,"right",26
"2020-12-20T21:39:07.900",40.92,24.27,2.38,1.63,0.25,117.24,267.83,"None",37874,"Jake McQuaide",44,"LS","home",38,2020122003,881,"right",27
"2020-12-20T21:39:08.000",40.69,24.26,2.27,1.59,0.24,118.24,265.79,"None",37874,"Jake McQuaide",44,"LS","home",39,2020122003,881,"right",28
"2020-12-20T21:39:08.100",40.46,24.24,2.21,1.42,0.23,122.8,264.38,"None",37874,"Jake McQuaide",44,"LS","home",40,2020122003,881,"right",29
"2020-12-20T21:39:08.200",40.24,24.21,2.12,1.36,0.22,132.15,261.86,"None",37874,"Jake McQuaide",44,"LS","home",41,2020122003,881,"right",30
"2020-12-20T21:39:08.300",40.01,24.18,2.11,1.13,0.23,142.96,261.75,"None",37874,"Jake McQuaide",44,"LS","home",42,2020122003,881,"right",31
"2020-12-20T21:39:08.400",39.79,24.15,2.07,1,0.22,153.56,262.12,"None",37874,"Jake McQuaide",44,"LS","home",43,2020122003,881,"right",32
