"x","y","s","event","displayName","jerseyNumber","position","team","frameId","gameId","playId","playDirection","framesaftersnap","jaccardradius"
68.84,27.12,0.01,"ball_snap","Linval Joseph",95,"NT","home",11,2020110808,2859,"left",0,1.01
68.83,27.11,0.1,"None","Linval Joseph",95,"NT","home",12,2020110808,2859,"left",1,1.1
68.8,27.1,0.3,"None","Linval Joseph",95,"NT","home",13,2020110808,2859,"left",2,1.3
68.76,27.08,0.63,"None","Linval Joseph",95,"NT","home",14,2020110808,2859,"left",3,1.63
68.67,27.05,1.06,"None","Linval Joseph",95,"NT","home",15,2020110808,2859,"left",4,2.06
68.54,27.01,1.56,"None","Linval Joseph",95,"NT","home",16,2020110808,2859,"left",5,2.56
68.35,26.96,2.1,"None","Linval Joseph",95,"NT","home",17,2020110808,2859,"left",6,3.1
68.11,26.9,2.57,"None","Linval Joseph",95,"NT","home",18,2020110808,2859,"left",7,3.57
67.84,26.84,2.94,"None","Linval Joseph",95,"NT","home",19,2020110808,2859,"left",8,3.94
67.52,26.78,3.28,"None","Linval Joseph",95,"NT","home",20,2020110808,2859,"left",9,4.28
67.19,26.72,3.53,"None","Linval Joseph",95,"NT","home",21,2020110808,2859,"left",10,4.53
66.83,26.7,3.7,"None","Linval Joseph",95,"NT","home",22,2020110808,2859,"left",11,4.7
66.45,26.69,3.86,"None","Linval Joseph",95,"NT","home",23,2020110808,2859,"left",12,4.86
66.06,26.68,3.91,"None","Linval Joseph",95,"NT","home",24,2020110808,2859,"left",13,4.91
65.67,26.68,3.87,"None","Linval Joseph",95,"NT","home",25,2020110808,2859,"left",14,4.87
65.29,26.69,3.85,"None","Linval Joseph",95,"NT","home",26,2020110808,2859,"left",15,4.85
64.9,26.7,3.83,"None","Linval Joseph",95,"NT","home",27,2020110808,2859,"left",16,4.83
64.52,26.73,3.79,"None","Linval Joseph",95,"NT","home",28,2020110808,2859,"left",17,4.79
64.15,26.75,3.69,"None","Linval Joseph",95,"NT","home",29,2020110808,2859,"left",18,4.69
63.78,26.78,3.66,"None","Linval Joseph",95,"NT","home",30,2020110808,2859,"left",19,4.66
63.41,26.79,3.56,"None","Linval Joseph",95,"NT","home",31,2020110808,2859,"left",20,4.56
63.06,26.8,3.44,"None","Linval Joseph",95,"NT","home",32,2020110808,2859,"left",21,4.44
62.73,26.8,3.31,"None","Linval Joseph",95,"NT","home",33,2020110808,2859,"left",22,4.31
62.4,26.81,3.15,"punt","Linval Joseph",95,"NT","home",34,2020110808,2859,"left",23,4.15
62.1,26.81,2.92,"None","Linval Joseph",95,"NT","home",35,2020110808,2859,"left",24,3.92
61.82,26.81,2.64,"None","Linval Joseph",95,"NT","home",36,2020110808,2859,"left",25,3.64
67.09,27.24,0,"ball_snap","Kyle Wilber",58,"OLB","away",11,2020110808,2859,"left",0,1
67.08,27.24,0,"None","Kyle Wilber",58,"OLB","away",12,2020110808,2859,"left",1,1
67.08,27.24,0,"None","Kyle Wilber",58,"OLB","away",13,2020110808,2859,"left",2,1
67.07,27.24,0,"None","Kyle Wilber",58,"OLB","away",14,2020110808,2859,"left",3,1
67.07,27.24,0.04,"None","Kyle Wilber",58,"OLB","away",15,2020110808,2859,"left",4,1.04
67.05,27.23,0.27,"None","Kyle Wilber",58,"OLB","away",16,2020110808,2859,"left",5,1.27
66.99,27.22,0.74,"None","Kyle Wilber",58,"OLB","away",17,2020110808,2859,"left",6,1.74
66.89,27.2,1.18,"None","Kyle Wilber",58,"OLB","away",18,2020110808,2859,"left",7,2.18
66.75,27.17,1.63,"None","Kyle Wilber",58,"OLB","away",19,2020110808,2859,"left",8,2.63
66.56,27.13,2.06,"None","Kyle Wilber",58,"OLB","away",20,2020110808,2859,"left",9,3.06
66.32,27.09,2.61,"None","Kyle Wilber",58,"OLB","away",21,2020110808,2859,"left",10,3.61
66.03,27.05,3.09,"None","Kyle Wilber",58,"OLB","away",22,2020110808,2859,"left",11,4.09
65.7,27.01,3.46,"None","Kyle Wilber",58,"OLB","away",23,2020110808,2859,"left",12,4.46
65.35,26.97,3.72,"None","Kyle Wilber",58,"OLB","away",24,2020110808,2859,"left",13,4.72
64.97,26.94,3.9,"None","Kyle Wilber",58,"OLB","away",25,2020110808,2859,"left",14,4.9
64.57,26.92,3.98,"None","Kyle Wilber",58,"OLB","away",26,2020110808,2859,"left",15,4.98
64.18,26.91,3.99,"None","Kyle Wilber",58,"OLB","away",27,2020110808,2859,"left",16,4.99
63.78,26.9,3.98,"None","Kyle Wilber",58,"OLB","away",28,2020110808,2859,"left",17,4.98
63.39,26.91,3.84,"None","Kyle Wilber",58,"OLB","away",29,2020110808,2859,"left",18,4.84
63.02,26.91,3.72,"None","Kyle Wilber",58,"OLB","away",30,2020110808,2859,"left",19,4.72
62.65,26.92,3.56,"None","Kyle Wilber",58,"OLB","away",31,2020110808,2859,"left",20,4.56
62.3,26.92,3.45,"None","Kyle Wilber",58,"OLB","away",32,2020110808,2859,"left",21,4.45
61.96,26.91,3.29,"None","Kyle Wilber",58,"OLB","away",33,2020110808,2859,"left",22,4.29
61.64,26.9,3.15,"punt","Kyle Wilber",58,"OLB","away",34,2020110808,2859,"left",23,4.15
61.34,26.88,2.92,"None","Kyle Wilber",58,"OLB","away",35,2020110808,2859,"left",24,3.92
61.08,26.85,2.65,"None","Kyle Wilber",58,"OLB","away",36,2020110808,2859,"left",25,3.65
65.07,25.62,0,"ball_snap","Derek Carrier",85,"TE","away",11,2020110808,2859,"left",0,1
65.07,25.62,0,"None","Derek Carrier",85,"TE","away",12,2020110808,2859,"left",1,1
65.07,25.62,0,"None","Derek Carrier",85,"TE","away",13,2020110808,2859,"left",2,1
65.06,25.62,0,"None","Derek Carrier",85,"TE","away",14,2020110808,2859,"left",3,1
65.06,25.62,0.01,"None","Derek Carrier",85,"TE","away",15,2020110808,2859,"left",4,1.01
65.05,25.62,0.07,"None","Derek Carrier",85,"TE","away",16,2020110808,2859,"left",5,1.07
65.03,25.61,0.25,"None","Derek Carrier",85,"TE","away",17,2020110808,2859,"left",6,1.25
65,25.6,0.46,"None","Derek Carrier",85,"TE","away",18,2020110808,2859,"left",7,1.46
64.93,25.58,0.73,"None","Derek Carrier",85,"TE","away",19,2020110808,2859,"left",8,1.73
64.85,25.56,0.97,"None","Derek Carrier",85,"TE","away",20,2020110808,2859,"left",9,1.97
64.73,25.52,1.22,"None","Derek Carrier",85,"TE","away",21,2020110808,2859,"left",10,2.22
64.61,25.48,1.42,"None","Derek Carrier",85,"TE","away",22,2020110808,2859,"left",11,2.42
64.46,25.43,1.59,"None","Derek Carrier",85,"TE","away",23,2020110808,2859,"left",12,2.59
